date,product_sku,quantity,unit_cost,total_cost,supplier_name,po_number,lead_time_actual,season
27/01/2025,PIST-HERO-100,312,280,87360,Qingdao Piston Manufacturing,PO-2025-0019,106,winter
01/02/2025,BEAR-6201,705,35,24675,Zhongshan Bearing Works,PO-2025-0020,89,winter
01/02/2025,HEAD-HALO-H4,81,120,9720,Wenzhou Headlight Co,PO-2025-0021,87,winter
03/02/2025,PIST-BAJ-100,224,320,71680,Qingdao Piston Manufacturing,PO-2025-0022,105,winter
08/02/2025,TIRE-100-17,66,580,38280,Tianjin Tire Trading,PO-2025-0023,99,winter
10/02/2025,SHCK-REAR-100,31,420,13020,Chengdu Shock Absorber,PO-2025-0024,85,winter
10/02/2025,TAIL-UNIV-A,90,95,8550,Yuyao Taillight Factory,PO-2025-0025,85,winter
11/02/2025,BEAR-6301,405,42,17010,Zhongshan Bearing Works,PO-2025-0026,94,winter
14/02/2025,TIRE-100-17,76,580,44080,Tianjin Tire Trading,PO-2025-0027,95,winter
15/02/2025,FILT-OIL-100,627,45,28215,Ningbo Filter Systems,PO-2025-0028,101,winter
17/02/2025,FILT-OIL-125,360,52,18720,Ningbo Filter Systems,PO-2025-0029,104,winter
20/02/2025,BRKE-PAD-DISC,138,85,11730,Shanghai Brake Components,PO-2025-0030,89,winter
20/02/2025,BRKE-PAD-DRUM,224,65,14560,Shanghai Brake Components,PO-2025-0031,99,winter
20/02/2025,SPRK-NGK-C4HSA,631,65,41015,Wuxi Spark Plug Factory,PO-2025-0032,88,winter
21/02/2025,FILT-AIR-125,473,42,19866,Ningbo Filter Systems,PO-2025-0033,86,winter
22/02/2025,TIRE-125-18,30,780,23400,Tianjin Tire Trading,PO-2025-0034,89,winter
25/02/2025,TANK-FUEL-10L,14,850,11900,Luoyang Tank Manufacturing,PO-2025-0035,101,winter
28/02/2025,GASK-BAJ-100,426,120,51120,Guangzhou Gasket Factory,PO-2025-0036,89,winter
28/02/2025,FILT-AIR-125,369,42,15498,Ningbo Filter Systems,PO-2025-0037,88,winter
28/02/2025,SEAT-COMM-100,37,180,6660,Changzhou Seat Factory,PO-2025-0038,95,winter
03/03/2025,CLUT-PLATE-125,55,145,7975,Jinan Clutch Assembly,PO-2025-0039,98,summer
04/03/2025,ENGN-OIL-10W30,320,180,57600,Taizhou Engine Parts,PO-2025-0040,88,summer
08/03/2025,CABL-CLUTCH-100,158,55,8690,Hangzhou Cable Manufacturing,PO-2025-0041,102,summer
10/03/2025,ENGN-OIL-20W40,217,195,42315,Taizhou Engine Parts,PO-2025-0042,97,summer
11/03/2025,CHAIN-428H,63,180,11340,Chongqing Chain Industry,PO-2025-0043,93,summer
11/03/2025,BATT-12V9A,52,980,50960,Shenzhen Battery Tech,PO-2025-0044,98,summer
11/03/2025,BEAR-6301,549,42,23058,Zhongshan Bearing Works,PO-2025-0045,103,summer
12/03/2025,CABL-CLUTCH-100,113,55,6215,Hangzhou Cable Manufacturing,PO-2025-0046,93,summer
14/03/2025,HEAD-LED-H4,46,280,12880,Wenzhou Headlight Co,PO-2025-0047,97,summer
14/03/2025,TAIL-UNIV-A,114,95,10830,Yuyao Taillight Factory,PO-2025-0048,105,summer
15/03/2025,ENGN-OIL-10W30,332,180,59760,Taizhou Engine Parts,PO-2025-0049,91,summer
17/03/2025,EXHS-BAJ-100,23,380,8740,Zibo Exhaust Systems,PO-2025-0050,96,summer
21/03/2025,BRKE-PAD-DRUM,230,65,14950,Shanghai Brake Components,PO-2025-0051,95,summer
22/03/2025,BEAR-6201,792,35,27720,Zhongshan Bearing Works,PO-2025-0052,89,summer
22/03/2025,ENGN-OIL-20W40,289,195,56355,Taizhou Engine Parts,PO-2025-0053,101,summer
23/03/2025,HEAD-LED-H4,48,280,13440,Wenzhou Headlight Co,PO-2025-0054,102,summer
26/03/2025,FILT-AIR-100,579,38,22002,Ningbo Filter Systems,PO-2025-0055,101,summer
29/03/2025,TIRE-100-18,62,650,40300,Tianjin Tire Trading,PO-2025-0056,91,summer
30/03/2025,BRKE-PAD-DISC,161,85,13685,Shanghai Brake Components,PO-2025-0057,87,summer
30/03/2025,TIRE-125-18,34,780,26520,Tianjin Tire Trading,PO-2025-0058,87,summer
30/03/2025,CABL-THROT-100,178,48,8544,Hangzhou Cable Manufacturing,PO-2025-0059,93,summer
30/03/2025,MIRR-ROUND-10,258,35,9030,Xiamen Mirror Industry,PO-2025-0060,98,summer
31/03/2025,SPRK-NGK-C4HSA,775,65,50375,Wuxi Spark Plug Factory,PO-2025-0061,86,summer
31/03/2025,CARB-KEI-VM17,23,650,14950,Jiangmen Carburetor Works,PO-2025-0062,89,summer
01/04/2025,HEAD-HALO-H4,55,120,6600,Wenzhou Headlight Co,PO-2025-0063,89,summer
06/04/2025,PIST-BAJ-100,189,320,60480,Qingdao Piston Manufacturing,PO-2025-0064,105,summer
06/04/2025,CABL-CLUTCH-100,88,55,4840,Hangzhou Cable Manufacturing,PO-2025-0065,104,summer
09/04/2025,CLUT-PLATE-125,45,145,6525,Jinan Clutch Assembly,PO-2025-0066,101,summer
11/04/2025,BRKE-PAD-DRUM,133,65,8645,Shanghai Brake Components,PO-2025-0067,89,summer
12/04/2025,BEAR-6201,676,35,23660,Zhongshan Bearing Works,PO-2025-0068,103,summer
12/04/2025,FORK-SEAL-100,63,55,3465,Foshan Fork Components,PO-2025-0069,95,summer
14/04/2025,CABL-THROT-100,116,48,5568,Hangzhou Cable Manufacturing,PO-2025-0070,92,summer
15/04/2025,CHAIN-428H,74,180,13320,Chongqing Chain Industry,PO-2025-0071,103,summer
17/04/2025,FILT-OIL-125,333,52,17316,Ningbo Filter Systems,PO-2025-0072,86,summer
19/04/2025,EXHS-BAJ-100,19,380,7220,Zibo Exhaust Systems,PO-2025-0073,87,summer
20/04/2025,GASK-UNIV-125,195,150,29250,Guangzhou Gasket Factory,PO-2025-0074,97,summer
22/04/2025,SPRK-NGK-BPR6ES,335,72,24120,Wuxi Spark Plug Factory,PO-2025-0075,104,summer
23/04/2025,TANK-FUEL-10L,10,850,8500,Luoyang Tank Manufacturing,PO-2025-0076,98,summer
26/04/2025,BEAR-6301,381,42,16002,Zhongshan Bearing Works,PO-2025-0077,93,summer
30/04/2025,ENGN-OIL-10W30,225,180,40500,Taizhou Engine Parts,PO-2025-0078,99,summer
02/05/2025,GASK-BAJ-100,205,120,24600,Guangzhou Gasket Factory,PO-2025-0079,94,summer
02/05/2025,ENGN-OIL-20W40,197,195,38415,Taizhou Engine Parts,PO-2025-0080,96,summer
03/05/2025,BRKE-PAD-DISC,114,85,9690,Shanghai Brake Components,PO-2025-0081,102,summer
03/05/2025,SEAT-COMM-100,25,180,4500,Changzhou Seat Factory,PO-2025-0082,100,summer
05/05/2025,PIST-HERO-100,201,280,56280,Qingdao Piston Manufacturing,PO-2025-0083,100,summer
05/05/2025,TIRE-100-18,43,650,27950,Tianjin Tire Trading,PO-2025-0084,87,summer
07/05/2025,BATT-12V9A,31,980,30380,Shenzhen Battery Tech,PO-2025-0085,89,summer
08/05/2025,CABL-SPED-100,84,42,3528,Hangzhou Cable Manufacturing,PO-2025-0086,94,summer
13/05/2025,FILT-AIR-125,278,42,11676,Ningbo Filter Systems,PO-2025-0087,95,summer
17/05/2025,CHAIN-420,86,120,10320,Chongqing Chain Industry,PO-2025-0088,86,summer
17/05/2025,FILT-AIR-100,367,38,13946,Ningbo Filter Systems,PO-2025-0089,90,summer
17/05/2025,TIRE-125-18,24,780,18720,Tianjin Tire Trading,PO-2025-0090,96,summer
18/05/2025,CLUT-PLATE-100,75,120,9000,Jinan Clutch Assembly,PO-2025-0091,101,summer
19/05/2025,PIST-HONDA-125,98,350,34300,Qingdao Piston Manufacturing,PO-2025-0092,101,summer
22/05/2025,PIST-BAJ-150,99,450,44550,Qingdao Piston Manufacturing,PO-2025-0093,103,summer
23/05/2025,HEAD-LED-H4,48,280,13440,Wenzhou Headlight Co,PO-2025-0094,100,summer
25/05/2025,BEAR-6202,490,38,18620,Zhongshan Bearing Works,PO-2025-0095,101,summer
26/05/2025,SHCK-REAR-100,21,420,8820,Chengdu Shock Absorber,PO-2025-0096,86,summer
27/05/2025,TIRE-100-17,42,580,24360,Tianjin Tire Trading,PO-2025-0097,101,summer
03/06/2025,GASK-BAJ-100,270,120,32400,Guangzhou Gasket Factory,PO-2025-0098,99,monsoon
04/06/2025,CLUT-PLATE-100,72,120,8640,Jinan Clutch Assembly,PO-2025-0099,89,monsoon
10/06/2025,CHAIN-420,91,120,10920,Chongqing Chain Industry,PO-2025-0100,86,monsoon
10/06/2025,HEAD-HALO-H4,49,120,5880,Wenzhou Headlight Co,PO-2025-0101,95,monsoon
11/06/2025,FILT-AIR-125,295,42,12390,Ningbo Filter Systems,PO-2025-0102,94,monsoon
12/06/2025,CLUT-PLATE-125,45,145,6525,Jinan Clutch Assembly,PO-2025-0103,96,monsoon
16/06/2025,FILT-OIL-125,321,52,16692,Ningbo Filter Systems,PO-2025-0104,96,monsoon
16/06/2025,CARB-KEI-VM17,17,650,11050,Jiangmen Carburetor Works,PO-2025-0105,102,monsoon
17/06/2025,HDLB-RAISED-22,36,150,5400,Kunshan Handlebar Tech,PO-2025-0106,103,monsoon
19/06/2025,SPRK-NGK-BPR6ES,284,72,20448,Wuxi Spark Plug Factory,PO-2025-0107,96,monsoon
20/06/2025,SPRK-NGK-C4HSA,409,65,26585,Wuxi Spark Plug Factory,PO-2025-0108,99,monsoon
20/06/2025,CABL-SPED-100,70,42,2940,Hangzhou Cable Manufacturing,PO-2025-0109,100,monsoon
20/06/2025,ENGN-OIL-10W30,290,180,52200,Taizhou Engine Parts,PO-2025-0110,87,monsoon
25/06/2025,HEAD-LED-H4,47,280,13160,Wenzhou Headlight Co,PO-2025-0111,98,monsoon
26/06/2025,GASK-UNIV-125,151,150,22650,Guangzhou Gasket Factory,PO-2025-0112,86,monsoon
27/06/2025,PIST-HONDA-125,133,350,46550,Qingdao Piston Manufacturing,PO-2025-0113,99,monsoon
27/06/2025,TANK-FUEL-10L,13,850,11050,Luoyang Tank Manufacturing,PO-2025-0114,87,monsoon
02/07/2025,PIST-BAJ-100,156,320,49920,Qingdao Piston Manufacturing,PO-2025-0115,96,monsoon
03/07/2025,FILT-AIR-100,332,38,12616,Ningbo Filter Systems,PO-2025-0116,90,monsoon
03/07/2025,BEAR-6202,563,38,21394,Zhongshan Bearing Works,PO-2025-0117,95,monsoon
05/07/2025,PIST-HERO-100,153,280,42840,Qingdao Piston Manufacturing,PO-2025-0118,102,monsoon
06/07/2025,BRKE-PAD-DISC,128,85,10880,Shanghai Brake Components,PO-2025-0119,96,monsoon
08/07/2025,CABL-CLUTCH-100,119,55,6545,Hangzhou Cable Manufacturing,PO-2025-0120,85,monsoon
09/07/2025,TIRE-100-18,41,650,26650,Tianjin Tire Trading,PO-2025-0121,86,monsoon
12/07/2025,TIRE-100-17,49,580,28420,Tianjin Tire Trading,PO-2025-0122,90,monsoon
14/07/2025,FILT-OIL-100,465,45,20925,Ningbo Filter Systems,PO-2025-0123,99,monsoon
15/07/2025,SHCK-REAR-100,26,420,10920,Chengdu Shock Absorber,PO-2025-0124,96,monsoon
17/07/2025,ENGN-OIL-20W40,188,195,36660,Taizhou Engine Parts,PO-2025-0125,98,monsoon
21/07/2025,EXHS-BAJ-100,16,380,6080,Zibo Exhaust Systems,PO-2025-0126,103,monsoon
26/07/2025,PIST-BAJ-150,62,450,27900,Qingdao Piston Manufacturing,PO-2025-0127,92,monsoon
27/07/2025,CHAIN-428H,60,180,10800,Chongqing Chain Industry,PO-2025-0128,93,monsoon
28/07/2025,TAIL-UNIV-A,62,95,5890,Yuyao Taillight Factory,PO-2025-0129,91,monsoon
29/07/2025,BEAR-6301,310,42,13020,Zhongshan Bearing Works,PO-2025-0130,90,monsoon
30/07/2025,CABL-THROT-100,121,48,5808,Hangzhou Cable Manufacturing,PO-2025-0131,93,monsoon
01/08/2025,SEAT-COMM-100,40,180,7200,Changzhou Seat Factory,PO-2025-0132,104,monsoon
02/08/2025,SHCK-REAR-100,40,420,16800,Chengdu Shock Absorber,PO-2025-0133,101,monsoon
07/08/2025,TIRE-100-17,78,580,45240,Tianjin Tire Trading,PO-2025-0134,97,monsoon
07/08/2025,FORK-SEAL-100,121,55,6655,Foshan Fork Components,PO-2025-0135,93,monsoon
10/08/2025,ENGN-OIL-20W40,365,195,71175,Taizhou Engine Parts,PO-2025-0136,87,monsoon
13/08/2025,TIRE-100-18,56,650,36400,Tianjin Tire Trading,PO-2025-0137,95,monsoon
13/08/2025,BATT-12V7A,92,850,78200,Shenzhen Battery Tech,PO-2025-0138,94,monsoon
15/08/2025,PIST-BAJ-150,115,450,51750,Qingdao Piston Manufacturing,PO-2025-0139,99,monsoon
15/08/2025,BEAR-6202,898,38,34124,Zhongshan Bearing Works,PO-2025-0140,95,monsoon
19/08/2025,FILT-OIL-125,418,52,21736,Ningbo Filter Systems,PO-2025-0141,86,monsoon
19/08/2025,ENGN-OIL-10W30,406,180,73080,Taizhou Engine Parts,PO-2025-0142,97,monsoon
25/08/2025,CHAIN-420,125,120,15000,Chongqing Chain Industry,PO-2025-0143,101,monsoon
26/08/2025,EXHS-BAJ-100,24,380,9120,Zibo Exhaust Systems,PO-2025-0144,90,monsoon
27/08/2025,CHAIN-428H,82,180,14760,Chongqing Chain Industry,PO-2025-0145,103,monsoon
27/08/2025,CABL-CLUTCH-100,163,55,8965,Hangzhou Cable Manufacturing,PO-2025-0146,86,monsoon
28/08/2025,EXHS-BAJ-100,30,380,11400,Zibo Exhaust Systems,PO-2025-0147,93,monsoon
31/08/2025,FILT-OIL-100,570,45,25650,Ningbo Filter Systems,PO-2025-0148,99,monsoon
31/08/2025,HEAD-HALO-H4,92,120,11040,Wenzhou Headlight Co,PO-2025-0149,90,monsoon
02/09/2025,BRKE-PAD-DISC,171,85,14535,Shanghai Brake Components,PO-2025-0150,103,monsoon
05/09/2025,PIST-HONDA-125,202,350,70700,Qingdao Piston Manufacturing,PO-2025-0151,101,monsoon
05/09/2025,FILT-AIR-125,496,42,20832,Ningbo Filter Systems,PO-2025-0152,96,monsoon
06/09/2025,SEAT-COMM-100,54,180,9720,Changzhou Seat Factory,PO-2025-0153,94,monsoon
10/09/2025,TANK-FUEL-10L,17,850,14450,Luoyang Tank Manufacturing,PO-2025-0154,105,monsoon
11/09/2025,BATT-12V9A,56,980,54880,Shenzhen Battery Tech,PO-2025-0155,98,monsoon
11/09/2025,CABL-THROT-100,173,48,8304,Hangzhou Cable Manufacturing,PO-2025-0156,98,monsoon
13/09/2025,GASK-UNIV-125,317,150,47550,Guangzhou Gasket Factory,PO-2025-0157,98,monsoon
15/09/2025,GASK-BAJ-100,330,120,39600,Guangzhou Gasket Factory,PO-2025-0158,88,monsoon
16/09/2025,CHAIN-420,177,120,21240,Chongqing Chain Industry,PO-2025-0159,100,monsoon
16/09/2025,CLUT-PLATE-125,62,145,8990,Jinan Clutch Assembly,PO-2025-0160,93,monsoon
17/09/2025,BRKE-PAD-DRUM,234,65,15210,Shanghai Brake Components,PO-2025-0161,102,monsoon
17/09/2025,TIRE-125-18,36,780,28080,Tianjin Tire Trading,PO-2025-0162,104,monsoon
17/09/2025,CABL-SPED-100,135,42,5670,Hangzhou Cable Manufacturing,PO-2025-0163,100,monsoon
18/09/2025,CLUT-PLATE-100,81,120,9720,Jinan Clutch Assembly,PO-2025-0164,94,monsoon
20/09/2025,PIST-HERO-100,249,280,69720,Qingdao Piston Manufacturing,PO-2025-0165,95,monsoon
20/09/2025,FILT-AIR-100,621,38,23598,Ningbo Filter Systems,PO-2025-0166,105,monsoon
21/09/2025,TAIL-UNIV-A,102,95,9690,Yuyao Taillight Factory,PO-2025-0167,94,monsoon
21/09/2025,MIRR-ROUND-10,237,35,8295,Xiamen Mirror Industry,PO-2025-0168,87,monsoon
27/09/2025,ENGN-OIL-10W30,347,180,62460,Taizhou Engine Parts,PO-2025-0169,89,monsoon
29/09/2025,HDLB-RAISED-22,61,150,9150,Kunshan Handlebar Tech,PO-2025-0170,86,monsoon
30/09/2025,ENGN-OIL-20W40,292,195,56940,Taizhou Engine Parts,PO-2025-0171,93,monsoon
02/10/2025,TIRE-100-17,58,580,33640,Tianjin Tire Trading,PO-2025-0172,89,pre_winter
02/10/2025,SPRK-NGK-BPR6ES,546,72,39312,Wuxi Spark Plug Factory,PO-2025-0173,90,pre_winter
04/10/2025,PIST-HONDA-125,164,350,57400,Qingdao Piston Manufacturing,PO-2025-0174,99,pre_winter
05/10/2025,TIRE-125-18,34,780,26520,Tianjin Tire Trading,PO-2025-0175,104,pre_winter
05/10/2025,BEAR-6201,908,35,31780,Zhongshan Bearing Works,PO-2025-0176,102,pre_winter
07/10/2025,BRKE-PAD-DISC,168,85,14280,Shanghai Brake Components,PO-2025-0177,94,pre_winter
07/10/2025,CLUT-PLATE-125,73,145,10585,Jinan Clutch Assembly,PO-2025-0178,100,pre_winter
08/10/2025,HEAD-LED-H4,47,280,13160,Wenzhou Headlight Co,PO-2025-0179,98,pre_winter
09/10/2025,BEAR-6301,553,42,23226,Zhongshan Bearing Works,PO-2025-0180,91,pre_winter
09/10/2025,CARB-KEI-VM17,24,650,15600,Jiangmen Carburetor Works,PO-2025-0181,85,pre_winter
11/10/2025,BATT-12V7A,75,850,63750,Shenzhen Battery Tech,PO-2025-0182,101,pre_winter
11/10/2025,CARB-KEI-VM17,25,650,16250,Jiangmen Carburetor Works,PO-2025-0183,103,pre_winter
13/10/2025,PIST-BAJ-100,203,320,64960,Qingdao Piston Manufacturing,PO-2025-0184,87,pre_winter
16/10/2025,FILT-AIR-100,471,38,17898,Ningbo Filter Systems,PO-2025-0185,85,pre_winter
16/10/2025,SPRK-NGK-C4HSA,666,65,43290,Wuxi Spark Plug Factory,PO-2025-0186,105,pre_winter
16/10/2025,BEAR-6202,759,38,28842,Zhongshan Bearing Works,PO-2025-0187,95,pre_winter
16/10/2025,HEAD-HALO-H4,72,120,8640,Wenzhou Headlight Co,PO-2025-0188,89,pre_winter
19/10/2025,BATT-12V9A,47,980,46060,Shenzhen Battery Tech,PO-2025-0189,85,pre_winter
19/10/2025,MIRR-ROUND-10,262,35,9170,Xiamen Mirror Industry,PO-2025-0190,86,pre_winter
22/10/2025,TIRE-100-18,63,650,40950,Tianjin Tire Trading,PO-2025-0191,89,pre_winter
23/10/2025,FORK-SEAL-100,93,55,5115,Foshan Fork Components,PO-2025-0192,88,pre_winter
25/10/2025,BEAR-6301,617,42,25914,Zhongshan Bearing Works,PO-2025-0193,105,pre_winter
28/10/2025,SPRK-NGK-C4HSA,817,65,53105,Wuxi Spark Plug Factory,PO-2025-0194,85,pre_winter
30/10/2025,TAIL-UNIV-A,141,95,13395,Yuyao Taillight Factory,PO-2025-0195,100,pre_winter
31/10/2025,PIST-BAJ-100,203,320,64960,Qingdao Piston Manufacturing,PO-2025-0196,92,pre_winter
31/10/2025,CABL-CLUTCH-100,164,55,9020,Hangzhou Cable Manufacturing,PO-2025-0197,91,pre_winter
02/11/2025,FILT-AIR-100,444,38,16872,Ningbo Filter Systems,PO-2025-0198,101,winter
02/11/2025,TIRE-125-18,26,780,20280,Tianjin Tire Trading,PO-2025-0199,87,winter
06/11/2025,FILT-AIR-125,282,42,11844,Ningbo Filter Systems,PO-2025-0200,101,winter
09/11/2025,GASK-BAJ-100,294,120,35280,Guangzhou Gasket Factory,PO-2025-0201,92,winter
09/11/2025,BEAR-6201,560,35,19600,Zhongshan Bearing Works,PO-2025-0202,88,winter
17/11/2025,FILT-OIL-125,320,52,16640,Ningbo Filter Systems,PO-2025-0203,96,winter
18/11/2025,MIRR-ROUND-10,210,35,7350,Xiamen Mirror Industry,PO-2025-0204,98,winter
18/11/2025,SEAT-COMM-100,36,180,6480,Changzhou Seat Factory,PO-2025-0205,91,winter
24/11/2025,CARB-KEI-VM17,20,650,13000,Jiangmen Carburetor Works,PO-2025-0206,100,winter
27/11/2025,CABL-THROT-100,100,48,4800,Hangzhou Cable Manufacturing,PO-2025-0207,85,winter
28/11/2025,TANK-FUEL-10L,10,850,8500,Luoyang Tank Manufacturing,PO-2025-0208,103,winter
30/11/2025,BATT-12V7A,54,850,45900,Shenzhen Battery Tech,PO-2025-0209,94,winter
02/12/2025,SHCK-REAR-100,28,420,11760,Chengdu Shock Absorber,PO-2025-0210,118,winter
03/12/2025,PIST-BAJ-150,83,450,37350,Qingdao Piston Manufacturing,PO-2025-0211,103,winter
03/12/2025,BRKE-PAD-DRUM,208,65,13520,Shanghai Brake Components,PO-2025-0212,114,winter
04/12/2025,CABL-CLUTCH-100,92,55,5060,Hangzhou Cable Manufacturing,PO-2025-0213,117,winter
07/12/2025,HDLB-RAISED-22,35,150,5250,Kunshan Handlebar Tech,PO-2025-0214,102,winter
08/12/2025,FORK-SEAL-100,69,55,3795,Foshan Fork Components,PO-2025-0215,104,winter
08/12/2025,TAIL-UNIV-A,102,95,9690,Yuyao Taillight Factory,PO-2025-0216,109,winter
10/12/2025,GASK-UNIV-125,165,150,24750,Guangzhou Gasket Factory,PO-2025-0217,121,winter
10/12/2025,EXHS-BAJ-100,26,380,9880,Zibo Exhaust Systems,PO-2025-0218,100,winter
11/12/2025,PIST-HERO-100,264,280,73920,Qingdao Piston Manufacturing,PO-2025-0219,100,winter
12/12/2025,CHAIN-428H,69,180,12420,Chongqing Chain Industry,PO-2025-0220,107,winter
12/12/2025,SPRK-NGK-C4HSA,677,65,44005,Wuxi Spark Plug Factory,PO-2025-0221,112,winter
13/12/2025,SPRK-NGK-BPR6ES,307,72,22104,Wuxi Spark Plug Factory,PO-2025-0222,121,winter
15/12/2025,TIRE-100-18,45,650,29250,Tianjin Tire Trading,PO-2025-0223,117,winter
15/12/2025,CLUT-PLATE-125,43,145,6235,Jinan Clutch Assembly,PO-2025-0224,106,winter
18/12/2025,CABL-SPED-100,82,42,3444,Hangzhou Cable Manufacturing,PO-2025-0225,107,winter
18/12/2025,HEAD-LED-H4,43,280,12040,Wenzhou Headlight Co,PO-2025-0226,111,winter
20/12/2025,BEAR-6202,618,38,23484,Zhongshan Bearing Works,PO-2025-0227,100,winter
20/12/2025,CLUT-PLATE-100,71,120,8520,Jinan Clutch Assembly,PO-2025-0228,101,winter
23/12/2025,HEAD-HALO-H4,63,120,7560,Wenzhou Headlight Co,PO-2025-0229,104,winter
24/12/2025,CHAIN-420,135,120,16200,Chongqing Chain Industry,PO-2025-0230,111,winter
24/12/2025,TIRE-100-17,42,580,24360,Tianjin Tire Trading,PO-2025-0231,108,winter
25/12/2025,PIST-HONDA-125,117,350,40950,Qingdao Piston Manufacturing,PO-2025-0232,110,winter
25/12/2025,FILT-OIL-100,446,45,20070,Ningbo Filter Systems,PO-2025-0233,121,winter
