date,product_sku,quantity,revenue,channel,region,invoice_no,customer_id,season
06/01/2025,BRKE-PAD-DRUM,25,3375,wholesale,chittagong,INV-2025-0042,CUST-0007,winter
13/01/2025,BRKE-PAD-DRUM,32,4320,wholesale,chittagong,INV-2025-0043,CUST-0002,winter
23/01/2025,BRKE-PAD-DRUM,29,3915,retail,chittagong,INV-2025-0044,CUST-0038,winter
11/01/2025,TIRE-100-18,12,13200,retail,barishal,INV-2025-0045,CUST-0046,winter
18/01/2025,TIRE-100-18,6,6600,retail,dhaka,INV-2025-0046,CUST-0044,winter
09/01/2025,TIRE-100-17,9,8820,retail,chittagong,INV-2025-0047,CUST-0019,winter
17/01/2025,TIRE-100-17,4,3920,online,dhaka,INV-2025-0048,CUST-0028,winter
23/01/2025,TIRE-100-17,9,8820,wholesale,dhaka,INV-2025-0049,CUST-0044,winter
09/01/2025,TIRE-125-18,4,5400,retail,khulna,INV-2025-0050,CUST-0020,winter
16/01/2025,TIRE-125-18,3,4050,online,chittagong,INV-2025-0051,CUST-0006,winter
21/01/2025,TIRE-125-18,4,5400,retail,chittagong,INV-2025-0052,CUST-0011,winter
05/01/2025,BATT-12V7A,2,3000,retail,dhaka,INV-2025-0053,CUST-0017,winter
14/01/2025,BATT-12V7A,16,24000,retail,rajshahi,INV-2025-0054,CUST-0009,winter
24/01/2025,BATT-12V7A,10,15000,online,rangpur,INV-2025-0055,CUST-0032,winter
06/01/2025,BATT-12V9A,2,3500,wholesale,dhaka,INV-2025-0056,CUST-0033,winter
14/01/2025,BATT-12V9A,5,8750,online,chittagong,INV-2025-0057,CUST-0044,winter
20/01/2025,BATT-12V9A,6,10500,online,dhaka,INV-2025-0058,CUST-0004,winter
24/01/2025,BATT-12V9A,1,1750,retail,rajshahi,INV-2025-0059,CUST-0036,winter
11/01/2025,SPRK-NGK-C4HSA,114,14820,online,dhaka,INV-2025-0060,CUST-0043,winter
18/01/2025,SPRK-NGK-C4HSA,62,8060,retail,dhaka,INV-2025-0061,CUST-0042,winter
06/01/2025,SPRK-NGK-BPR6ES,9,1305,online,dhaka,INV-2025-0062,CUST-0032,winter
09/01/2025,SPRK-NGK-BPR6ES,14,2030,wholesale,dhaka,INV-2025-0063,CUST-0008,winter
16/01/2025,SPRK-NGK-BPR6ES,9,1305,retail,dhaka,INV-2025-0064,CUST-0010,winter
20/01/2025,SPRK-NGK-BPR6ES,76,11020,retail,rangpur,INV-2025-0065,CUST-0014,winter
23/01/2025,SPRK-NGK-BPR6ES,31,4495,retail,dhaka,INV-2025-0066,CUST-0039,winter
11/01/2025,CABL-CLUTCH-100,38,4750,retail,dhaka,INV-2025-0067,CUST-0002,winter
21/01/2025,CABL-CLUTCH-100,14,1750,wholesale,rangpur,INV-2025-0068,CUST-0018,winter
07/01/2025,CABL-THROT-100,8,864,wholesale,chittagong,INV-2025-0069,CUST-0017,winter
16/01/2025,CABL-THROT-100,6,648,retail,dhaka,INV-2025-0070,CUST-0028,winter
24/01/2025,CABL-THROT-100,37,3996,wholesale,dhaka,INV-2025-0071,CUST-0011,winter
06/01/2025,CABL-SPED-100,5,475,wholesale,dhaka,INV-2025-0072,CUST-0040,winter
08/01/2025,CABL-SPED-100,6,570,wholesale,dhaka,INV-2025-0073,CUST-0047,winter
17/01/2025,CABL-SPED-100,9,855,wholesale,rajshahi,INV-2025-0074,CUST-0021,winter
22/01/2025,CABL-SPED-100,11,1045,online,dhaka,INV-2025-0075,CUST-0010,winter
24/01/2025,CABL-SPED-100,4,380,retail,chittagong,INV-2025-0076,CUST-0044,winter
09/01/2025,BEAR-6201,123,9225,wholesale,sylhet,INV-2025-0077,CUST-0003,winter
21/01/2025,BEAR-6201,118,8850,online,dhaka,INV-2025-0078,CUST-0027,winter
09/01/2025,BEAR-6202,127,10414,retail,khulna,INV-2025-0079,CUST-0020,winter
13/01/2025,BEAR-6202,46,3772,online,chittagong,INV-2025-0080,CUST-0045,winter
23/01/2025,BEAR-6202,45,3690,online,chittagong,INV-2025-0081,CUST-0027,winter
05/01/2025,BEAR-6301,43,3870,wholesale,dhaka,INV-2025-0082,CUST-0035,winter
13/01/2025,BEAR-6301,22,1980,retail,chittagong,INV-2025-0083,CUST-0043,winter
19/01/2025,BEAR-6301,51,4590,retail,sylhet,INV-2025-0084,CUST-0019,winter
24/01/2025,BEAR-6301,18,1620,online,rajshahi,INV-2025-0085,CUST-0007,winter
11/01/2025,CLUT-PLATE-100,30,7500,wholesale,chittagong,INV-2025-0086,CUST-0035,winter
18/01/2025,CLUT-PLATE-100,5,1250,retail,dhaka,INV-2025-0087,CUST-0038,winter
05/01/2025,CLUT-PLATE-125,8,2320,online,rangpur,INV-2025-0088,CUST-0027,winter
13/01/2025,CLUT-PLATE-125,2,580,wholesale,barishal,INV-2025-0089,CUST-0048,winter
16/01/2025,CLUT-PLATE-125,8,2320,online,dhaka,INV-2025-0090,CUST-0015,winter
24/01/2025,CLUT-PLATE-125,6,1740,retail,chittagong,INV-2025-0091,CUST-0043,winter
07/01/2025,ENGN-OIL-10W30,42,13440,online,rangpur,INV-2025-0092,CUST-0016,winter
12/01/2025,ENGN-OIL-10W30,1,320,retail,chittagong,INV-2025-0093,CUST-0040,winter
15/01/2025,ENGN-OIL-10W30,55,17600,wholesale,sylhet,INV-2025-0094,CUST-0037,winter
20/01/2025,ENGN-OIL-10W30,2,640,online,chittagong,INV-2025-0095,CUST-0025,winter
24/01/2025,ENGN-OIL-10W30,2,640,retail,mymensingh,INV-2025-0096,CUST-0021,winter
06/01/2025,ENGN-OIL-20W40,11,3850,retail,dhaka,INV-2025-0097,CUST-0028,winter
10/01/2025,ENGN-OIL-20W40,33,11550,wholesale,dhaka,INV-2025-0098,CUST-0010,winter
17/01/2025,ENGN-OIL-20W40,6,2100,wholesale,dhaka,INV-2025-0099,CUST-0006,winter
19/01/2025,ENGN-OIL-20W40,6,2100,retail,chittagong,INV-2025-0100,CUST-0047,winter
25/01/2025,ENGN-OIL-20W40,27,9450,retail,dhaka,INV-2025-0101,CUST-0041,winter
09/01/2025,FORK-SEAL-100,6,720,wholesale,rajshahi,INV-2025-0102,CUST-0018,winter
14/01/2025,FORK-SEAL-100,23,2760,retail,dhaka,INV-2025-0103,CUST-0002,winter
24/01/2025,FORK-SEAL-100,8,960,wholesale,sylhet,INV-2025-0104,CUST-0007,winter
09/01/2025,SHCK-REAR-100,3,2340,wholesale,dhaka,INV-2025-0105,CUST-0014,winter
18/01/2025,SHCK-REAR-100,7,5460,retail,dhaka,INV-2025-0106,CUST-0002,winter
06/01/2025,HEAD-LED-H4,8,4160,wholesale,barishal,INV-2025-0107,CUST-0041,winter
09/01/2025,HEAD-LED-H4,1,520,retail,sylhet,INV-2025-0108,CUST-0022,winter
14/01/2025,HEAD-LED-H4,5,2600,retail,mymensingh,INV-2025-0109,CUST-0040,winter
20/01/2025,HEAD-LED-H4,3,1560,retail,chittagong,INV-2025-0110,CUST-0034,winter
23/01/2025,HEAD-LED-H4,2,1040,online,rajshahi,INV-2025-0111,CUST-0013,winter
09/01/2025,HEAD-HALO-H4,11,2640,retail,dhaka,INV-2025-0112,CUST-0021,winter
20/01/2025,HEAD-HALO-H4,17,4080,retail,dhaka,INV-2025-0113,CUST-0045,winter
07/01/2025,TAIL-UNIV-A,10,1950,online,rangpur,INV-2025-0114,CUST-0017,winter
13/01/2025,TAIL-UNIV-A,7,1365,wholesale,dhaka,INV-2025-0115,CUST-0046,winter
19/01/2025,TAIL-UNIV-A,4,780,retail,dhaka,INV-2025-0116,CUST-0038,winter
26/01/2025,TAIL-UNIV-A,26,5070,wholesale,rajshahi,INV-2025-0117,CUST-0011,winter
03/01/2025,MIRR-ROUND-10,19,1482,retail,chittagong,INV-2025-0118,CUST-0041,winter
12/01/2025,MIRR-ROUND-10,19,1482,retail,khulna,INV-2025-0119,CUST-0003,winter
16/01/2025,MIRR-ROUND-10,26,2028,retail,rangpur,INV-2025-0120,CUST-0027,winter
21/01/2025,MIRR-ROUND-10,12,936,wholesale,dhaka,INV-2025-0121,CUST-0042,winter
24/01/2025,MIRR-ROUND-10,14,1092,wholesale,rangpur,INV-2025-0122,CUST-0026,winter
06/01/2025,HDLB-RAISED-22,8,2320,retail,sylhet,INV-2025-0123,CUST-0050,winter
13/01/2025,HDLB-RAISED-22,4,1160,retail,dhaka,INV-2025-0124,CUST-0045,winter
22/01/2025,HDLB-RAISED-22,2,580,retail,dhaka,INV-2025-0125,CUST-0030,winter
04/01/2025,SEAT-COMM-100,5,1750,wholesale,rangpur,INV-2025-0126,CUST-0043,winter
14/01/2025,SEAT-COMM-100,4,1400,online,dhaka,INV-2025-0127,CUST-0027,winter
18/01/2025,SEAT-COMM-100,2,700,retail,sylhet,INV-2025-0128,CUST-0021,winter
26/01/2025,SEAT-COMM-100,3,1050,retail,dhaka,INV-2025-0129,CUST-0032,winter
05/01/2025,TANK-FUEL-10L,2,3100,wholesale,dhaka,INV-2025-0130,CUST-0037,winter
14/01/2025,TANK-FUEL-10L,1,1550,online,mymensingh,INV-2025-0131,CUST-0019,winter
16/01/2025,TANK-FUEL-10L,1,1550,online,dhaka,INV-2025-0132,CUST-0003,winter
24/01/2025,TANK-FUEL-10L,1,1550,online,barishal,INV-2025-0133,CUST-0003,winter
11/01/2025,EXHS-BAJ-100,4,2880,wholesale,dhaka,INV-2025-0134,CUST-0026,winter
20/01/2025,EXHS-BAJ-100,5,3600,wholesale,dhaka,INV-2025-0135,CUST-0032,winter
05/01/2025,CARB-KEI-VM17,1,1200,retail,dhaka,INV-2025-0136,CUST-0007,winter
12/01/2025,CARB-KEI-VM17,2,2400,online,mymensingh,INV-2025-0137,CUST-0047,winter
13/01/2025,CARB-KEI-VM17,1,1200,retail,chittagong,INV-2025-0138,CUST-0013,winter
18/01/2025,CARB-KEI-VM17,1,1200,wholesale,rajshahi,INV-2025-0139,CUST-0035,winter
24/01/2025,CARB-KEI-VM17,2,2400,online,mymensingh,INV-2025-0140,CUST-0004,winter
07/02/2025,PIST-BAJ-100,6,3480,wholesale,dhaka,INV-2025-0141,CUST-0025,winter
18/02/2025,PIST-BAJ-100,56,32480,retail,dhaka,INV-2025-0142,CUST-0009,winter
11/02/2025,PIST-BAJ-150,5,4100,wholesale,sylhet,INV-2025-0143,CUST-0034,winter
19/02/2025,PIST-BAJ-150,33,27060,wholesale,chittagong,INV-2025-0144,CUST-0043,winter
05/02/2025,PIST-HERO-100,19,9690,retail,khulna,INV-2025-0145,CUST-0042,winter
09/02/2025,PIST-HERO-100,42,21420,retail,rajshahi,INV-2025-0146,CUST-0005,winter
16/02/2025,PIST-HERO-100,13,6630,retail,dhaka,INV-2025-0147,CUST-0014,winter
24/02/2025,PIST-HERO-100,15,7650,retail,dhaka,INV-2025-0148,CUST-0025,winter
11/02/2025,PIST-HONDA-125,14,8960,wholesale,khulna,INV-2025-0149,CUST-0020,winter
20/02/2025,PIST-HONDA-125,33,21120,wholesale,rajshahi,INV-2025-0150,CUST-0033,winter
09/02/2025,GASK-BAJ-100,13,3120,retail,rajshahi,INV-2025-0151,CUST-0018,winter
16/02/2025,GASK-BAJ-100,21,5040,wholesale,chittagong,INV-2025-0152,CUST-0037,winter
20/02/2025,GASK-BAJ-100,58,13920,retail,sylhet,INV-2025-0153,CUST-0007,winter
09/02/2025,GASK-UNIV-125,2,580,online,dhaka,INV-2025-0154,CUST-0006,winter
15/02/2025,GASK-UNIV-125,49,14210,retail,dhaka,INV-2025-0155,CUST-0026,winter
21/02/2025,GASK-UNIV-125,29,8410,wholesale,chittagong,INV-2025-0156,CUST-0004,winter
04/02/2025,CHAIN-428H,1,350,wholesale,dhaka,INV-2025-0157,CUST-0034,winter
12/02/2025,CHAIN-428H,10,3500,wholesale,chittagong,INV-2025-0158,CUST-0042,winter
15/02/2025,CHAIN-428H,12,4200,retail,dhaka,INV-2025-0159,CUST-0008,winter
24/02/2025,CHAIN-428H,6,2100,retail,dhaka,INV-2025-0160,CUST-0018,winter
10/02/2025,CHAIN-420,10,2300,retail,dhaka,INV-2025-0161,CUST-0045,winter
19/02/2025,CHAIN-420,31,7130,retail,dhaka,INV-2025-0162,CUST-0014,winter
05/02/2025,FILT-OIL-100,102,9690,retail,sylhet,INV-2025-0163,CUST-0022,winter
10/02/2025,FILT-OIL-100,41,3895,retail,barishal,INV-2025-0164,CUST-0001,winter
15/02/2025,FILT-OIL-100,1,95,retail,sylhet,INV-2025-0165,CUST-0002,winter
22/02/2025,FILT-OIL-100,26,2470,retail,dhaka,INV-2025-0166,CUST-0005,winter
11/02/2025,FILT-OIL-125,46,5060,retail,chittagong,INV-2025-0167,CUST-0008,winter
16/02/2025,FILT-OIL-125,74,8140,retail,dhaka,INV-2025-0168,CUST-0044,winter
05/02/2025,FILT-AIR-100,106,8692,retail,khulna,INV-2025-0169,CUST-0032,winter
12/02/2025,FILT-AIR-100,34,2788,online,rajshahi,INV-2025-0170,CUST-0017,winter
21/02/2025,FILT-AIR-100,30,2460,retail,sylhet,INV-2025-0171,CUST-0030,winter
03/02/2025,FILT-AIR-125,17,1530,retail,dhaka,INV-2025-0172,CUST-0015,winter
11/02/2025,FILT-AIR-125,19,1710,retail,sylhet,INV-2025-0173,CUST-0032,winter
18/02/2025,FILT-AIR-125,29,2610,wholesale,dhaka,INV-2025-0174,CUST-0045,winter
20/02/2025,FILT-AIR-125,36,3240,retail,mymensingh,INV-2025-0175,CUST-0048,winter
05/02/2025,BRKE-PAD-DISC,8,1400,retail,barishal,INV-2025-0176,CUST-0027,winter
11/02/2025,BRKE-PAD-DISC,12,2100,retail,rangpur,INV-2025-0177,CUST-0013,winter
13/02/2025,BRKE-PAD-DISC,11,1925,wholesale,dhaka,INV-2025-0178,CUST-0022,winter
18/02/2025,BRKE-PAD-DISC,9,1575,retail,khulna,INV-2025-0179,CUST-0030,winter
23/02/2025,BRKE-PAD-DISC,12,2100,wholesale,chittagong,INV-2025-0180,CUST-0023,winter
10/02/2025,BRKE-PAD-DRUM,32,4320,retail,chittagong,INV-2025-0181,CUST-0036,winter
17/02/2025,BRKE-PAD-DRUM,44,5940,retail,sylhet,INV-2025-0182,CUST-0019,winter
06/02/2025,TIRE-100-18,1,1100,wholesale,dhaka,INV-2025-0183,CUST-0004,winter
11/02/2025,TIRE-100-18,1,1100,retail,dhaka,INV-2025-0184,CUST-0019,winter
14/02/2025,TIRE-100-18,5,5500,wholesale,rajshahi,INV-2025-0185,CUST-0050,winter
23/02/2025,TIRE-100-18,10,11000,online,chittagong,INV-2025-0186,CUST-0046,winter
08/02/2025,TIRE-100-17,5,4900,wholesale,khulna,INV-2025-0187,CUST-0028,winter
14/02/2025,TIRE-100-17,12,11760,online,dhaka,INV-2025-0188,CUST-0017,winter
20/02/2025,TIRE-100-17,4,3920,wholesale,barishal,INV-2025-0189,CUST-0012,winter
07/02/2025,TIRE-125-18,5,6750,wholesale,dhaka,INV-2025-0190,CUST-0041,winter
10/02/2025,TIRE-125-18,1,1350,retail,chittagong,INV-2025-0191,CUST-0028,winter
16/02/2025,TIRE-125-18,5,6750,wholesale,dhaka,INV-2025-0192,CUST-0045,winter
22/02/2025,TIRE-125-18,1,1350,online,dhaka,INV-2025-0193,CUST-0046,winter
06/02/2025,BATT-12V7A,8,12000,wholesale,barishal,INV-2025-0194,CUST-0038,winter
09/02/2025,BATT-12V7A,9,13500,retail,chittagong,INV-2025-0195,CUST-0035,winter
15/02/2025,BATT-12V7A,8,12000,online,barishal,INV-2025-0196,CUST-0004,winter
24/02/2025,BATT-12V7A,1,1500,retail,rajshahi,INV-2025-0197,CUST-0026,winter
04/02/2025,BATT-12V9A,6,10500,retail,chittagong,INV-2025-0198,CUST-0004,winter
11/02/2025,BATT-12V9A,7,12250,wholesale,dhaka,INV-2025-0199,CUST-0033,winter
12/02/2025,BATT-12V9A,4,7000,retail,rajshahi,INV-2025-0200,CUST-0014,winter
18/02/2025,BATT-12V9A,1,1750,wholesale,chittagong,INV-2025-0201,CUST-0032,winter
25/02/2025,BATT-12V9A,1,1750,online,dhaka,INV-2025-0202,CUST-0041,winter
07/02/2025,SPRK-NGK-C4HSA,50,6500,wholesale,dhaka,INV-2025-0203,CUST-0008,winter
10/02/2025,SPRK-NGK-C4HSA,57,7410,retail,chittagong,INV-2025-0204,CUST-0007,winter
14/02/2025,SPRK-NGK-C4HSA,75,9750,wholesale,chittagong,INV-2025-0205,CUST-0029,winter
20/02/2025,SPRK-NGK-C4HSA,64,8320,online,dhaka,INV-2025-0206,CUST-0020,winter
09/02/2025,SPRK-NGK-BPR6ES,53,7685,retail,dhaka,INV-2025-0207,CUST-0002,winter
15/02/2025,SPRK-NGK-BPR6ES,55,7975,wholesale,dhaka,INV-2025-0208,CUST-0043,winter
23/02/2025,SPRK-NGK-BPR6ES,36,5220,wholesale,dhaka,INV-2025-0209,CUST-0045,winter
04/02/2025,CABL-CLUTCH-100,14,1750,retail,chittagong,INV-2025-0210,CUST-0002,winter
10/02/2025,CABL-CLUTCH-100,8,1000,retail,dhaka,INV-2025-0211,CUST-0025,winter
15/02/2025,CABL-CLUTCH-100,3,375,retail,dhaka,INV-2025-0212,CUST-0042,winter
16/02/2025,CABL-CLUTCH-100,17,2125,wholesale,sylhet,INV-2025-0213,CUST-0029,winter
24/02/2025,CABL-CLUTCH-100,11,1375,online,dhaka,INV-2025-0214,CUST-0009,winter
06/02/2025,CABL-THROT-100,5,540,retail,sylhet,INV-2025-0215,CUST-0047,winter
10/02/2025,CABL-THROT-100,19,2052,retail,chittagong,INV-2025-0216,CUST-0009,winter
16/02/2025,CABL-THROT-100,8,864,wholesale,dhaka,INV-2025-0217,CUST-0020,winter
16/02/2025,CABL-THROT-100,17,1836,retail,barishal,INV-2025-0218,CUST-0042,winter
22/02/2025,CABL-THROT-100,10,1080,online,chittagong,INV-2025-0219,CUST-0039,winter
07/02/2025,CABL-SPED-100,3,285,wholesale,dhaka,INV-2025-0220,CUST-0015,winter
12/02/2025,CABL-SPED-100,8,760,retail,dhaka,INV-2025-0221,CUST-0044,winter
14/02/2025,CABL-SPED-100,24,2280,wholesale,chittagong,INV-2025-0222,CUST-0050,winter
20/02/2025,CABL-SPED-100,9,855,wholesale,khulna,INV-2025-0223,CUST-0016,winter
05/02/2025,BEAR-6201,83,6225,wholesale,dhaka,INV-2025-0224,CUST-0005,winter
16/02/2025,BEAR-6201,43,3225,retail,chittagong,INV-2025-0225,CUST-0041,winter
21/02/2025,BEAR-6201,110,8250,online,khulna,INV-2025-0226,CUST-0021,winter
04/02/2025,BEAR-6202,31,2542,wholesale,khulna,INV-2025-0227,CUST-0013,winter
08/02/2025,BEAR-6202,81,6642,retail,dhaka,INV-2025-0228,CUST-0043,winter
13/02/2025,BEAR-6202,47,3854,retail,dhaka,INV-2025-0229,CUST-0009,winter
17/02/2025,BEAR-6202,17,1394,retail,barishal,INV-2025-0230,CUST-0027,winter
24/02/2025,BEAR-6202,21,1722,online,chittagong,INV-2025-0231,CUST-0022,winter
03/02/2025,BEAR-6301,12,1080,wholesale,khulna,INV-2025-0232,CUST-0009,winter
07/02/2025,BEAR-6301,13,1170,retail,rajshahi,INV-2025-0233,CUST-0008,winter
15/02/2025,BEAR-6301,53,4770,retail,chittagong,INV-2025-0234,CUST-0035,winter
19/02/2025,BEAR-6301,32,2880,retail,dhaka,INV-2025-0235,CUST-0019,winter
24/02/2025,BEAR-6301,24,2160,retail,barishal,INV-2025-0236,CUST-0046,winter
09/02/2025,CLUT-PLATE-100,19,4750,wholesale,dhaka,INV-2025-0237,CUST-0035,winter
16/02/2025,CLUT-PLATE-100,1,250,retail,sylhet,INV-2025-0238,CUST-0031,winter
23/02/2025,CLUT-PLATE-100,11,2750,online,rangpur,INV-2025-0239,CUST-0042,winter
04/02/2025,CLUT-PLATE-125,5,1450,retail,dhaka,INV-2025-0240,CUST-0037,winter
13/02/2025,CLUT-PLATE-125,3,870,wholesale,barishal,INV-2025-0241,CUST-0049,winter
16/02/2025,CLUT-PLATE-125,11,3190,retail,khulna,INV-2025-0242,CUST-0005,winter
20/02/2025,CLUT-PLATE-125,1,290,wholesale,rangpur,INV-2025-0243,CUST-0040,winter
04/02/2025,ENGN-OIL-10W30,70,22400,retail,dhaka,INV-2025-0244,CUST-0050,winter
10/02/2025,ENGN-OIL-10W30,20,6400,retail,rajshahi,INV-2025-0245,CUST-0039,winter
15/02/2025,ENGN-OIL-10W30,3,960,wholesale,khulna,INV-2025-0246,CUST-0048,winter
18/02/2025,ENGN-OIL-10W30,3,960,retail,dhaka,INV-2025-0247,CUST-0025,winter
22/02/2025,ENGN-OIL-10W30,38,12160,wholesale,rajshahi,INV-2025-0248,CUST-0028,winter
07/02/2025,ENGN-OIL-20W40,13,4550,online,dhaka,INV-2025-0249,CUST-0016,winter
14/02/2025,ENGN-OIL-20W40,13,4550,wholesale,dhaka,INV-2025-0250,CUST-0015,winter
20/02/2025,ENGN-OIL-20W40,68,23800,wholesale,chittagong,INV-2025-0251,CUST-0035,winter
07/02/2025,FORK-SEAL-100,30,3600,retail,dhaka,INV-2025-0252,CUST-0019,winter
16/02/2025,FORK-SEAL-100,8,960,retail,dhaka,INV-2025-0253,CUST-0042,winter
05/02/2025,SHCK-REAR-100,1,780,wholesale,rajshahi,INV-2025-0254,CUST-0015,winter
13/02/2025,SHCK-REAR-100,3,2340,retail,chittagong,INV-2025-0255,CUST-0024,winter
15/02/2025,SHCK-REAR-100,5,3900,retail,rajshahi,INV-2025-0256,CUST-0042,winter
23/02/2025,SHCK-REAR-100,5,3900,online,dhaka,INV-2025-0257,CUST-0021,winter
11/02/2025,HEAD-LED-H4,1,520,retail,dhaka,INV-2025-0258,CUST-0009,winter
19/02/2025,HEAD-LED-H4,21,10920,wholesale,khulna,INV-2025-0259,CUST-0020,winter
06/02/2025,HEAD-HALO-H4,3,720,retail,rangpur,INV-2025-0260,CUST-0003,winter
15/02/2025,HEAD-HALO-H4,14,3360,wholesale,dhaka,INV-2025-0261,CUST-0020,winter
22/02/2025,HEAD-HALO-H4,15,3600,retail,khulna,INV-2025-0262,CUST-0018,winter
05/02/2025,TAIL-UNIV-A,12,2340,retail,chittagong,INV-2025-0263,CUST-0002,winter
11/02/2025,TAIL-UNIV-A,22,4290,wholesale,barishal,INV-2025-0264,CUST-0022,winter
12/02/2025,TAIL-UNIV-A,9,1755,online,barishal,INV-2025-0265,CUST-0049,winter
18/02/2025,TAIL-UNIV-A,1,195,wholesale,chittagong,INV-2025-0266,CUST-0022,winter
21/02/2025,TAIL-UNIV-A,5,975,wholesale,rajshahi,INV-2025-0267,CUST-0028,winter
09/02/2025,MIRR-ROUND-10,58,4524,wholesale,chittagong,INV-2025-0268,CUST-0037,winter
20/02/2025,MIRR-ROUND-10,39,3042,retail,rajshahi,INV-2025-0269,CUST-0025,winter
05/02/2025,HDLB-RAISED-22,3,870,wholesale,dhaka,INV-2025-0270,CUST-0003,winter
13/02/2025,HDLB-RAISED-22,1,290,retail,sylhet,INV-2025-0271,CUST-0043,winter
23/02/2025,HDLB-RAISED-22,15,4350,wholesale,dhaka,INV-2025-0272,CUST-0050,winter
09/02/2025,SEAT-COMM-100,5,1750,retail,chittagong,INV-2025-0273,CUST-0001,winter
17/02/2025,SEAT-COMM-100,10,3500,online,chittagong,INV-2025-0274,CUST-0031,winter
09/02/2025,TANK-FUEL-10L,2,3100,retail,rangpur,INV-2025-0275,CUST-0017,winter
16/02/2025,TANK-FUEL-10L,3,4650,retail,rajshahi,INV-2025-0276,CUST-0032,winter
21/02/2025,TANK-FUEL-10L,1,1550,wholesale,dhaka,INV-2025-0277,CUST-0010,winter
